,date,open,high,low,close,volume,QAV,trades,TBAV,TQAV,Ignore,detect
85,2021-07-19 05:39:00+04:30,31497.96,31521.56,31488.34,31521.55,16.11666500,507706.74033625,436,9.04185800,284848.40075010,0,1.0
86,2021-07-19 05:40:00+04:30,31521.56,31535.45,31495.4,31535.18,24.46257200,770946.41129468,449,13.16564700,414971.13818508,0,0.0
87,2021-07-19 05:41:00+04:30,31535.18,31535.18,31509.48,31522.6,17.95707600,566065.46225202,452,10.75193100,338936.04098336,0,1.0
88,2021-07-19 05:42:00+04:30,31526.56,31543.59,31516.28,31526.9,21.92393500,691279.16552969,401,17.76370100,560132.77165166,0,0.0
89,2021-07-19 05:43:00+04:30,31526.91,31539.35,31490.66,31493.67,19.96312600,629199.98283737,602,6.48086500,204295.13068779,0,1.0
90,2021-07-19 05:44:00+04:30,31493.67,31512.17,31482.49,31499.12,22.64500500,713239.18212190,804,10.49329100,330517.22626848,0,1.0
91,2021-07-19 05:45:00+04:30,31499.12,31511.4,31484.07,31499.62,17.26040100,543671.14320914,475,7.31406800,230380.17813097,0,0.0
92,2021-07-19 05:46:00+04:30,31499.61,31499.99,31470.01,31482.8,21.36877500,672781.13804185,501,11.81494100,372026.61498230,0,1.0
93,2021-07-19 05:47:00+04:30,31482.81,31495.26,31472.29,31490.54,9.89677500,311566.39461233,308,5.42480800,170776.27112737,0,0.0
94,2021-07-19 05:48:00+04:30,31490.54,31492.89,31470.01,31474.44,16.78675400,528453.14365416,375,8.45359800,266122.45230948,0,0.0
95,2021-07-19 05:49:00+04:30,31474.44,31480.0,31431.87,31454.99,72.60287800,2283524.02747302,1127,25.63285600,806266.69604059,0,1.0
96,2021-07-19 05:50:00+04:30,31454.99,31470.91,31441.01,31467.08,21.20176200,666860.29780046,419,11.04171600,347294.79191842,0,1.0
97,2021-07-19 05:51:00+04:30,31467.08,31485.71,31465.0,31485.71,15.07720800,474502.61744061,413,10.14611100,319312.98585370,0,1.0
98,2021-07-19 05:52:00+04:30,31485.71,31543.79,31476.94,31538.68,26.21291600,825945.83018531,637,13.87061500,437037.38189352,0,0.0
99,2021-07-19 05:53:00+04:30,31538.67,31538.67,31495.12,31504.99,21.44774000,675833.41878044,375,13.13722000,413951.91382094,0,0.0
100,2021-07-19 05:54:00+04:30,31504.99,31504.99,31483.83,31486.35,11.92578500,375618.56719007,325,2.93248200,92348.84655555,0,1.0
101,2021-07-19 05:55:00+04:30,31486.34,31512.25,31486.26,31509.01,14.56702700,458876.40079289,304,6.99511100,220350.37969545,0,1.0
102,2021-07-19 05:56:00+04:30,31512.17,31550.0,31512.17,31543.42,37.90863100,1195584.14998701,496,27.91301900,880314.69599801,0,0.0
103,2021-07-19 05:57:00+04:30,31543.41,31543.41,31525.61,31531.36,10.12829800,319368.06901187,236,5.86087500,184811.66143446,0,0.0
104,2021-07-19 05:58:00+04:30,31531.59,31543.21,31518.01,31525.81,9.20987300,290377.80982305,270,3.91808700,123551.46641024,0,1.0
105,2021-07-19 05:59:00+04:30,31525.82,31536.08,31520.25,31536.06,6.13067100,193302.71566436,240,3.67813700,115980.52392316,0,0.0
106,2021-07-19 06:00:00+04:30,31536.05,31536.06,31515.51,31523.05,9.71143300,306114.10367138,328,3.71010800,116951.25417868,0,0.0
107,2021-07-19 06:01:00+04:30,31523.05,31523.05,31469.41,31472.46,31.53909200,992936.76731916,545,11.95262100,376232.80550875,0,1.0
108,2021-07-19 06:02:00+04:30,31472.46,31490.0,31471.48,31478.26,8.55895000,269447.37351270,284,3.87343500,121941.40900910,0,1.0
109,2021-07-19 06:03:00+04:30,31478.26,31506.55,31475.69,31501.67,9.81117100,308946.99950408,264,4.44217400,139869.98488323,0,0.0
110,2021-07-19 06:04:00+04:30,31501.67,31502.81,31487.16,31501.12,10.96973800,345472.71765394,233,1.95534100,61588.52568504,0,0.0
111,2021-07-19 06:05:00+04:30,31501.13,31501.13,31480.28,31493.03,12.22123800,384843.40818435,290,5.60280700,176433.41052853,0,1.0
112,2021-07-19 06:06:00+04:30,31493.02,31523.44,31493.02,31518.18,13.54704500,426916.21153566,327,5.45565500,171924.93561365,0,0.0
113,2021-07-19 06:07:00+04:30,31518.18,31518.18,31499.86,31507.67,10.53496000,331967.90069688,200,2.26832000,71479.73643839,0,1.0
114,2021-07-19 06:08:00+04:30,31510.48,31529.84,31507.26,31510.56,24.23017600,763688.48532593,347,18.10061600,570526.36069513,0,0.0
115,2021-07-19 06:09:00+04:30,31510.57,31513.11,31492.95,31492.96,9.75007300,307145.72643154,255,4.18494800,131844.99417170,0,1.0
116,2021-07-19 06:10:00+04:30,31492.96,31568.58,31492.42,31567.82,12.83858100,404740.11396703,414,10.02394400,315961.31021359,0,0.0
