"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2021","0.079672","0.066583","0.079672","0.066583","4.80M","19.66%"
"May 23, 2021","0.066583","0.078222","0.080227","0.059666","4.05M","-14.88%"
"May 22, 2021","0.078222","0.084218","0.084218","0.076836","1.57M","-7.12%"
"May 21, 2021","0.084218","0.097901","0.099756","0.083197","3.88M","-13.98%"
"May 20, 2021","0.097901","0.087362","0.101500","0.087362","3.89M","12.06%"
"May 19, 2021","0.087362","0.129840","0.129840","0.080000","4.71M","-32.72%"
"May 18, 2021","0.129840","0.124433","0.131860","0.124433","743.86K","4.35%"
"May 17, 2021","0.124433","0.136641","0.136641","0.121572","1.64M","-8.93%"
"May 16, 2021","0.136641","0.135900","0.144443","0.135900","2.09M","0.55%"
"May 15, 2021","0.135900","0.139578","0.153064","0.135900","2.21M","-2.63%"
"May 14, 2021","0.139578","0.136300","0.139638","0.136300","1.09M","2.40%"
"May 13, 2021","0.136300","0.131537","0.142778","0.130558","1.52M","3.62%"
"May 12, 2021","0.131537","0.156999","0.160215","0.131537","1.57M","-16.22%"
"May 11, 2021","0.156999","0.150000","0.157439","0.150000","1.04M","4.67%"
"May 10, 2021","0.150000","0.168100","0.172125","0.150000","2.13M","-10.77%"
"May 09, 2021","0.168100","0.175590","0.175590","0.165683","1.40M","-4.27%"
"May 08, 2021","0.175590","0.174632","0.177953","0.172394","1.69M","0.55%"
"May 07, 2021","0.174632","0.181407","0.181407","0.174632","1.26M","-3.73%"
"May 06, 2021","0.181407","0.175437","0.181407","0.175437","2.23M","3.40%"
"May 05, 2021","0.175437","0.162623","0.175437","0.162623","1.53M","9.65%"
"May 04, 2021","0.160000","0.183393","0.183393","0.160000","2.18M","-12.76%"
"May 03, 2021","0.183393","0.188922","0.193694","0.183393","1.16M","-2.93%"
"May 02, 2021","0.188922","0.184157","0.199187","0.178694","1.48M","2.59%"
"May 01, 2021","0.184157","0.171386","0.184157","0.171386","3.47M","7.45%"
"Apr 30, 2021","0.171386","0.163858","0.171386","0.163007","903.97K","4.59%"
"Apr 29, 2021","0.163858","0.163824","0.170682","0.158000","851.12K","0.02%"
"Apr 28, 2021","0.163824","0.170080","0.170080","0.162100","1.14M","-3.68%"
"Apr 27, 2021","0.170080","0.156930","0.170080","0.156930","2.86M","8.38%"
"Apr 26, 2021","0.156930","0.130000","0.156930","0.130000","1.73M","21.65%"
"Apr 25, 2021","0.129000","0.130586","0.137350","0.125200","1.36M","-1.01%"
"Apr 24, 2021","0.130311","0.144567","0.144567","0.130311","1.64M","-9.86%"
"Apr 23, 2021","0.144567","0.153466","0.153466","0.129319","2.93M","-5.80%"
"Apr 22, 2021","0.153466","0.171604","0.176299","0.153466","1.16M","-10.57%"
"Apr 21, 2021","0.171604","0.181802","0.186036","0.171604","1.26M","-5.61%"
"Apr 20, 2021","0.181802","0.183256","0.183256","0.176570","2.78M","-0.79%"
"Apr 19, 2021","0.183256","0.195356","0.202671","0.182688","2.14M","-6.19%"
"Apr 18, 2021","0.195356","0.215335","0.232707","0.190480","4.66M","-9.28%"
"Apr 17, 2021","0.215335","0.203561","0.215582","0.203561","2.61M","5.78%"
"Apr 16, 2021","0.203561","0.222203","0.222203","0.195970","2.67M","-8.39%"
"Apr 15, 2021","0.222203","0.235460","0.235460","0.216772","2.84M","-5.63%"
"Apr 14, 2021","0.235460","0.191678","0.235460","0.191678","5.77M","22.84%"
"Apr 13, 2021","0.191678","0.187100","0.191678","0.186177","1.39M","2.45%"
"Apr 12, 2021","0.187100","0.186723","0.187100","0.184239","708.30K","0.20%"
"Apr 11, 2021","0.186723","0.187526","0.188079","0.186045","1.29M","-0.43%"
"Apr 10, 2021","0.187526","0.188252","0.193736","0.186156","938.20K","-0.39%"
"Apr 09, 2021","0.188252","0.185750","0.190432","0.185750","1.25M","1.35%"
"Apr 08, 2021","0.185750","0.180424","0.185750","0.180424","509.26K","2.95%"
"Apr 07, 2021","0.180424","0.186429","0.186429","0.176536","1.50M","-3.22%"
"Apr 06, 2021","0.186429","0.193629","0.193629","0.184062","1.33M","-3.72%"
"Apr 05, 2021","0.193629","0.186285","0.193629","0.181419","1.63M","3.48%"
"Apr 04, 2021","0.187124","0.181870","0.187328","0.181606","1.03M","2.89%"
"Apr 03, 2021","0.181870","0.192764","0.193617","0.181870","1.39M","-5.65%"
"Apr 02, 2021","0.192764","0.193949","0.193949","0.192294","888.58K","-0.61%"
"Apr 01, 2021","0.193949","0.187767","0.193949","0.186792","1.87M","3.29%"
"Mar 31, 2021","0.187767","0.194661","0.194661","0.185534","1.24M","-3.54%"
"Mar 30, 2021","0.194661","0.199455","0.199455","0.194661","1.18M","-2.40%"
"Mar 29, 2021","0.199455","0.199634","0.200519","0.199263","713.30K","-0.09%"
"Mar 28, 2021","0.199634","0.202033","0.202052","0.198409","698.83K","-1.19%"
"Mar 27, 2021","0.202033","0.199465","0.202033","0.198372","2.08M","1.29%"
"Mar 26, 2021","0.199465","0.188779","0.199465","0.188779","912.94K","5.66%"
"Mar 25, 2021","0.188779","0.189907","0.194829","0.188612","1.85M","-0.59%"
"Mar 24, 2021","0.189907","0.195002","0.201339","0.189907","876.31K","-2.61%"
"Mar 23, 2021","0.195002","0.199737","0.204506","0.195002","1.06M","-2.37%"
"Mar 22, 2021","0.199737","0.217886","0.219361","0.199737","1.41M","-8.33%"
"Mar 21, 2021","0.217886","0.218596","0.226551","0.217886","1.83M","-0.32%"
"Mar 20, 2021","0.218596","0.212281","0.224431","0.212281","1.90M","2.97%"
"Mar 19, 2021","0.212281","0.208988","0.216294","0.208988","828.95K","1.58%"
"Mar 18, 2021","0.208988","0.220912","0.220912","0.208988","929.28K","-5.40%"
"Mar 17, 2021","0.220912","0.223516","0.227799","0.216195","3.66M","-0.58%"
"Mar 16, 2021","0.222206","0.216600","0.227749","0.215423","9.85M","2.97%"
"Mar 15, 2021","0.215794","0.179872","0.215794","0.179426","4.21M","19.97%"
"Mar 14, 2021","0.179872","0.190229","0.190229","0.179872","1.09M","-5.44%"
"Mar 13, 2021","0.190229","0.183869","0.191000","0.182917","1.49M","3.46%"
"Mar 12, 2021","0.183869","0.181475","0.192792","0.181475","1.31M","1.32%"
"Mar 11, 2021","0.181475","0.180938","0.185376","0.180938","1.18M","0.30%"
"Mar 10, 2021","0.180938","0.175320","0.185878","0.175320","2.51M","3.20%"
"Mar 09, 2021","0.175320","0.154743","0.175320","0.154400","2.70M","13.30%"
"Mar 08, 2021","0.154743","0.158217","0.158217","0.152284","780.26K","-2.20%"
"Mar 07, 2021","0.158217","0.155210","0.159113","0.154562","483.02K","1.94%"
