,Unnamed: 0,actual,predicted,rec,date,open,high,low,close,volume
1083,1083,2422.21,2336.923828,sell,2021-07-30 04:30:00+04:30,2382.93,2450,2366.14,2422.21,171443.0482
1084,1084,2404.31,2376.256592,sell,2021-07-30 08:30:00+04:30,2422.22,2429.37,2384.49,2404.31,97061.70815
1085,1085,2334.84,2393.440918,buy,2021-07-30 12:30:00+04:30,2404.49,2406.17,2315.92,2334.84,148580.5765
1086,1086,2346.66,2370.496338,buy,2021-07-30 16:30:00+04:30,2335.15,2357.99,2322.84,2346.66,83774.84715
1087,1087,2378.91,2357.967773,sell,2021-07-30 20:30:00+04:30,2346.64,2379.11,2334,2378.91,66598.18
1088,1088,2461.81,2362.875977,sell,2021-07-31 00:30:00+04:30,2378.9,2471.7,2374.67,2461.81,195118.928
1089,1089,2463.18,2402.871582,sell,2021-07-31 04:30:00+04:30,2461.77,2483.38,2438.7,2463.18,96627.47836
1090,1090,2442.16,2432.584961,sell,2021-07-31 08:30:00+04:30,2463.18,2467.57,2420.68,2442.16,68157.97233
1091,1091,2458.58,2440.286133,sell,2021-07-31 12:30:00+04:30,2442.03,2477.63,2439,2458.58,93356.57499
1092,1092,2458.01,2450.134521,sell,2021-07-31 16:30:00+04:30,2458.29,2467.66,2432,2458.01,59689.29223
1093,1093,2456.6,2453.935303,sell,2021-07-31 20:30:00+04:30,2458.01,2466.17,2434.5,2456.6,58139.89817
1094,1094,2531.05,2453.980225,sell,2021-08-01 00:30:00+04:30,2456.58,2553.86,2444.51,2531.05,131629.8342
1095,1095,2616.5,2485.708252,sell,2021-08-01 04:30:00+04:30,2531.1,2619.99,2511.24,2616.5,132279.9563
1096,1096,2586.18,2544.085693,sell,2021-08-01 08:30:00+04:30,2616.51,2636.91,2580.46,2586.18,140631.5163
1097,1097,2587.01,2570.469238,sell,2021-08-01 12:30:00+04:30,2586.42,2611.61,2561.64,2587.01,93109.85426
1098,1098,2583.21,2583.836426,buy,2021-08-01 16:30:00+04:30,2587,2607.92,2571.31,2583.21,89344.98586
1099,1099,2655.56,2587.310059,sell,2021-08-01 20:30:00+04:30,2583.21,2664.9,2530,2655.56,188893.558
1100,1100,2555.69,2615.598633,buy,2021-08-02 00:30:00+04:30,2655.7,2697.61,2528.05,2555.69,209236.0701
1101,1101,2560,2593.211914,buy,2021-08-02 04:30:00+04:30,2555.5,2579.41,2507,2560,126076.7273
1102,1102,2617.74,2575.685547,sell,2021-08-02 08:30:00+04:30,2560.17,2639.47,2542.61,2617.74,109631.2253
1103,1103,2590.6,2589.202881,sell,2021-08-02 12:30:00+04:30,2617.75,2624.28,2557.49,2590.6,117159.9171
1104,1104,2633.26,2586.661621,sell,2021-08-02 16:30:00+04:30,2590.6,2658.8,2561.23,2633.26,153511.8695
1105,1105,2602.07,2603.133301,buy,2021-08-02 20:30:00+04:30,2633.4,2666,2595.62,2602.07,121127.7808
1106,1106,2606.93,2602.733887,sell,2021-08-03 00:30:00+04:30,2602.06,2637.98,2582.32,2606.93,99194.3295
1107,1107,2533.69,2602.603516,buy,2021-08-03 04:30:00+04:30,2606.92,2632.44,2517.22,2533.69,140408.3421
1108,1108,2493.22,2569.50708,buy,2021-08-03 08:30:00+04:30,2533.68,2545.03,2442.32,2493.22,179800.1755
1109,1109,2489.13,2526.425781,buy,2021-08-03 12:30:00+04:30,2493.1,2525.02,2459.64,2489.13,122330.1259
1110,1110,2496.57,2498.780029,sell,2021-08-03 16:30:00+04:30,2489.13,2540.55,2451,2496.57,162141.5708
1111,1111,2474.99,2486.541748,sell,2021-08-03 20:30:00+04:30,2496.62,2510.96,2451.14,2474.99,100306.2067
1112,1112,2509.04,2472.198975,sell,2021-08-04 00:30:00+04:30,2474.69,2530.19,2452.34,2509.04,87974.42282
1113,1113,2484.82,2479.271729,sell,2021-08-04 04:30:00+04:30,2508.51,2538.24,2482.66,2484.82,90177.34816
1114,1114,2478.71,2476.95459,sell,2021-08-04 08:30:00+04:30,2484.82,2518,2465,2478.71,84578.07066
1115,1115,2505.8,2473.091797,sell,2021-08-04 12:30:00+04:30,2478.82,2512.52,2457.68,2505.8,95347.57717
1116,1116,2672.58,2481.316162,sell,2021-08-04 16:30:00+04:30,2505.81,2697.12,2504.76,2672.58,322663.3921
1117,1117,2694.91,2560.700684,sell,2021-08-04 20:30:00+04:30,2672.57,2726.48,2665,2694.91,216134.2081
