,actual,predicted
758,2681.08,2515.169921875
759,2689.51,2586.98779296875
760,2762.33,2637.259033203125
761,2781.06,2688.751708984375
762,2639.9,2723.370361328125
763,2654.99,2568.5458984375
764,2602.77,2530.11279296875
765,2627.73,2533.072998046875
766,2674.19,2516.786376953125
767,2689.43,2584.02490234375
768,2690.75,2630.016845703125
769,2721.0,2627.539794921875
770,2673.87,2636.7041015625
771,2711.92,2610.77734375
772,2767.38,2628.17236328125
773,2764.42,2674.2333984375
774,2812.6499999999996,2684.39599609375
775,2783.0,2719.740234375
776,2730.3,2693.85693359375
777,2592.05,2624.132080078125
778,2490.96,2496.3125
779,2516.15,2377.158935546875
780,2533.03,2383.833984375
781,2375.36,2408.64306640625
782,2501.15,2257.38671875
783,2507.23,2409.586669921875
784,2454.86,2442.70751953125
785,2503.09,2344.027099609375
786,2535.48,2415.468505859375
787,2566.92,2432.505615234375
788,2562.7299999999996,2396.12744140625
789,2610.18,2470.426025390625
790,2563.15,2535.91650390625
791,2548.12,2492.4990234375
792,2566.3099999999995,2487.897705078125
793,2512.02,2485.164794921875
794,2458.69,2421.07421875
795,2471.09,2385.3984375
796,2465.0999999999995,2409.38037109375
797,2446.0800000000004,2389.611083984375
798,2470.73,2383.587646484375
799,2416.04,2415.764404296875
800,2398.12,2360.79345703125
801,2354.01,2331.58251953125
802,2300.18,2297.29052734375
803,2322.12,2219.8701171875
804,2388.7,2236.4248046875
805,2393.08,2298.794677734375
806,2409.71,2317.986083984375
807,2370.74,2348.675537109375
808,2333.41,2329.559326171875
809,2324.25,2289.016845703125
810,2363.04,2257.03369140625
811,2351.6,2285.951171875
812,2430.27,2277.967529296875
813,2509.33,2346.466796875
814,2478.34,2431.61181640625
815,2499.7300000000005,2414.26806640625
816,2479.54,2432.874267578125
817,2577.17,2415.260986328125
818,2539.57,2475.497314453125
819,2580.77,2457.46142578125
820,2586.82,2510.416259765625
821,2622.58,2534.329833984375
822,2577.46,2553.550048828125
823,2551.31,2521.15771484375
824,2531.59,2501.08935546875
825,2543.5399999999995,2494.960693359375
826,2521.89,2488.857177734375
827,2528.0999999999995,2468.134521484375
828,2460.06,2489.31640625
829,2415.95,2422.89990234375
830,2418.86,2364.509033203125
831,2367.89,2363.72265625
832,2434.38,2314.45556640625
833,2441.01,2374.413818359375
834,2424.5,2395.4228515625
835,2417.24,2389.649658203125
836,2340.18,2367.14013671875
837,2373.28,2293.384521484375
838,2342.16,2319.399658203125
839,2341.62,2287.657958984375
840,2319.89,2299.884033203125
841,2215.0,2282.173095703125
842,2154.42,2177.538330078125
843,2234.09,2120.2744140625
