,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,IKS_26_chiku,kijunAndSpanBCross
197,2021-06-30 04:52:00+04:30,1,1,1,0,0,0
198,2021-06-30 04:53:00+04:30,1,1,1,0,0,0
199,2021-06-30 04:54:00+04:30,1,1,1,0,0,0
200,2021-06-30 04:55:00+04:30,1,1,1,1,0,0
201,2021-06-30 04:56:00+04:30,1,1,1,1,0,0
202,2021-06-30 04:57:00+04:30,1,1,1,1,0,0
203,2021-06-30 04:58:00+04:30,1,1,1,1,0,0
204,2021-06-30 04:59:00+04:30,1,1,1,1,0,0
205,2021-06-30 05:00:00+04:30,1,1,1,1,0,0
206,2021-06-30 05:01:00+04:30,0,1,1,1,0,0
207,2021-06-30 05:02:00+04:30,1,1,1,1,0,0
208,2021-06-30 05:03:00+04:30,1,1,1,1,0,0
209,2021-06-30 05:04:00+04:30,1,1,1,1,0,1
210,2021-06-30 05:05:00+04:30,1,1,1,1,0,1
211,2021-06-30 05:06:00+04:30,1,1,1,1,0,1
212,2021-06-30 05:07:00+04:30,1,1,1,1,0,1
213,2021-06-30 05:08:00+04:30,1,1,1,1,0,1
214,2021-06-30 05:09:00+04:30,1,1,1,1,0,1
215,2021-06-30 05:10:00+04:30,1,1,1,1,0,1
216,2021-06-30 05:11:00+04:30,0,1,1,1,0,1
217,2021-06-30 05:12:00+04:30,0,1,1,1,0,1
218,2021-06-30 05:13:00+04:30,0,1,1,1,0,1
219,2021-06-30 05:14:00+04:30,0,0,1,1,1,1
220,2021-06-30 05:15:00+04:30,0,1,1,1,0,1
221,2021-06-30 05:16:00+04:30,0,0,1,1,1,1
222,2021-06-30 05:17:00+04:30,0,0,1,1,1,1
223,2021-06-30 05:18:00+04:30,0,0,1,1,1,1
224,2021-06-30 05:19:00+04:30,0,0,1,1,1,1
225,2021-06-30 05:20:00+04:30,1,1,1,1,0,1
226,2021-06-30 05:21:00+04:30,1,1,1,1,0,1
227,2021-06-30 05:22:00+04:30,1,1,1,1,0,1
228,2021-06-30 05:23:00+04:30,1,1,1,1,0,1
229,2021-06-30 05:24:00+04:30,0,0,1,1,1,1
230,2021-06-30 05:25:00+04:30,1,0,1,1,1,1
231,2021-06-30 05:26:00+04:30,1,0,1,1,1,1
232,2021-06-30 05:27:00+04:30,0,0,1,1,1,1
233,2021-06-30 05:28:00+04:30,0,0,0,1,1,1
234,2021-06-30 05:29:00+04:30,0,0,0,1,1,1
235,2021-06-30 05:30:00+04:30,0,0,0,0,1,1
236,2021-06-30 05:31:00+04:30,0,0,0,0,1,1
237,2021-06-30 05:32:00+04:30,0,0,0,0,1,1
238,2021-06-30 05:33:00+04:30,0,0,0,1,1,1
