,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
165,33615.4975,33563.29,33717.615000000005,33670.17,33599.99
166,33624.475,33563.29,33716.729999999996,33670.17,33590.5
167,33622.125,33563.29,33716.729999999996,33671.58,33581.0
168,33622.125,33563.29,33716.729999999996,33671.58,33550.57
169,33617.045,33563.29,33712.875,33671.58,33540.27
170,33614.042499999996,33563.29,33712.065,33678.28,33568.35
171,33613.707500000004,33563.29,33698.97,33683.64,33562.35
172,33616.270000000004,33563.29,33694.47,33699.67,33597.64
173,33621.4375,33563.29,33692.125,33701.0,33591.28
174,33621.4375,33563.29,33687.185,33704.619999999995,33597.33
175,33654.125,33595.29,33684.025,33705.005000000005,33623.73
176,33658.82000000001,33599.28,33672.165,33693.145000000004,33643.3
177,33658.82000000001,33599.28,33667.175,33692.005000000005,33638.68
178,33658.82000000001,33599.28,33638.265,33672.335,33595.44
179,33662.170000000006,33599.28,33623.525,33657.595,33613.44
180,33664.850000000006,33599.28,33622.46,33656.53,33612.11
181,33674.225000000006,33599.28,33612.485,33646.7,33621.09
182,33684.78,33599.485,33603.455,33640.955,33602.31
183,33686.59,33599.485,33596.41,33636.79,33583.49
184,33693.405,33599.485,33586.03,33636.79,33577.72
185,33693.405,33599.485,33581.41,33636.79,33579.99
186,33694.21,33600.29,33576.775,33636.545,33576.59
187,33694.315,33600.29,33560.885,33635.735,33601.04
188,33695.42,33600.29,33548.39,33622.64,33609.17
189,33698.78,33600.29,33546.8,33618.14,33553.07
190,33693.95,33625.015,33546.8,33615.795,33550.08
191,33693.8925,33629.994999999995,33557.515,33615.795,33552.16
192,33693.45,33648.08,33557.515,33615.795,33566.41
193,33694.155,33648.08,33559.165,33615.795,33550.03
194,33694.155,33648.08,33559.165,33611.945,33538.54
195,33692.2275,33648.08,33568.84,33602.705,33529.42
196,33695.1725,33648.08,33568.84,33602.705,33504.75
197,33691.305,33648.08,33568.84,33602.705,33514.76
198,33697.07,33648.08,33568.84,33602.56,33512.6
199,33696.5625,33648.08,33568.84,33599.275,33519.67
200,33695.9025,33648.08,33568.84,33596.395000000004,33501.0
201,33694.515,33648.08,33581.57,33586.015,33496.18
202,33682.655,33648.08,33591.45,33581.775,33506.0
203,33679.590000000004,33648.08,33591.45,33581.775,33491.83
204,33655.3,33648.08,33595.130000000005,33581.775,33488.33
205,33640.56,33648.08,33600.0,33581.775,33494.82
206,33639.494999999995,33648.08,33606.17,33581.775,33514.49
207,33629.5925,33646.7,33611.895000000004,33581.775,33526.09
208,33622.205,33640.955,33612.415,33581.775,33495.83
209,33616.600000000006,33636.79,33616.744999999995,33581.775,33464.46
210,33611.41,33636.79,33608.335,33581.775,33455.07
211,33609.100000000006,33636.79,33605.615,33581.775,33418.09
212,33606.66,33636.775,33603.335,33591.45,33421.48
213,33598.31,33636.775,33596.024999999994,33591.45,33425.04
214,33585.515,33636.775,33600.965,33591.45,33418.73
215,33582.47,33636.775,33594.16,33591.45,33448.96
216,33581.2975,33636.775,33587.475000000006,33591.45,33442.73
217,33586.655,33636.775,33587.475000000006,33591.45,33425.0
218,33586.655,33636.775,33587.475000000006,33591.45,33424.52
219,33587.479999999996,33636.775,33587.475000000006,33591.45,33426.36
220,33585.555,33636.775,33583.905,33591.275,33391.48
221,33585.7725,33636.775,33582.33500000001,33589.705,33414.68
222,33585.7725,33636.775,33568.130000000005,33575.5,33417.71
223,33585.7725,33636.775,33555.085,33575.5,33432.58
224,33585.7,33636.775,33539.71,33575.5,33447.94
225,33584.057499999995,33636.775,33539.71,33575.5,33452.07
226,33582.6175,33636.775,33539.71,33575.5,33450.91
227,33583.792499999996,33636.775,33522.66,33561.380000000005,33431.3
228,33586.6125,33636.775,33515.405,33558.66,33473.91
229,33586.6125,33636.775,33515.405,33556.380000000005,33451.4
230,33588.4525,33636.775,33505.64,33554.01,33433.94
231,33590.8875,33636.775,33503.025,33554.01,33445.54
232,33593.9725,33636.775,33503.025,33554.01,33464.97
233,33596.83500000001,33636.775,33501.380000000005,33554.01,33445.69
234,33597.095,33636.775,33501.380000000005,33554.01,33445.48
235,33599.259999999995,33636.775,33496.575,33549.205,33464.3
236,33595.055,33636.775,33488.235,33540.865000000005,33466.48
237,33593.695,33636.775,33469.85,33522.479999999996,33460.01
238,33597.3925,33636.545,33469.615000000005,33522.245,33440.23
239,33593.737499999996,33635.735,33469.615000000005,33522.245,33460.69
240,33596.2075,33622.64,33469.615000000005,33509.2,33443.92
241,33592.805,33618.14,33469.615000000005,33493.825,33538.45
242,33589.4625,33615.795,33467.66,33493.825,33499.44
243,33589.4625,33615.795,33453.235,33493.825,33517.2
244,33589.4625,33615.795,33449.615000000005,33490.895000000004,33489.55
245,33589.4625,33615.795,33437.65,33483.64,33489.54
246,33587.59,33611.945,33412.06,33464.025,33474.6
247,33586.020000000004,33602.705,33412.06,33454.259999999995,33465.69
248,33571.815,33596.43,33412.06,33451.645000000004,33485.29
249,33565.292499999996,33596.43,33412.06,33451.645000000004,33415.35
250,33557.604999999996,33596.285,33412.45,33450.0,33403.96
251,33557.604999999996,33593.0,33415.025,33450.0,33405.0
252,33557.604999999996,33590.119999999995,33418.6,33450.0,33416.05
253,33542.020000000004,33565.62,33418.6,33450.0,33423.15
254,33537.0325,33561.380000000005,33424.465,33450.0,33370.39
255,33535.8925,33561.380000000005,33436.95,33450.0,33396.69
256,33529.825,33561.380000000005,33443.31,33450.0,33390.88
257,33528.5175,33561.380000000005,33444.515,33450.0,33399.99
258,33528.5175,33561.380000000005,33454.130000000005,33450.0,33388.85
259,33527.69500000001,33561.380000000005,33454.130000000005,33448.045,33392.27
260,33527.69500000001,33561.380000000005,33454.130000000005,33433.619999999995,33402.37
261,33522.89,33556.575,33454.130000000005,33430.0,33404.19
262,33514.55,33548.235,33454.665,33425.0,33398.95
263,33496.16499999999,33529.85,33454.675,33425.0,33442.25
264,33495.93000000001,33529.615000000005,33454.675,33425.0,33455.99
265,33495.93000000001,33529.615000000005,33454.675,33425.0,33448.83
266,33489.4075,33529.615000000005,33454.675,33425.0,33480.01
267,33481.72,33529.615000000005,33487.675,33458.0,33524.47
268,33480.7425,33529.615000000005,33500.08,33470.405,33493.09
269,33473.53,33529.615000000005,33500.67,33470.405,33491.34
270,33470.255000000005,33529.615000000005,33500.67,33470.405,33507.05
271,33460.645000000004,33529.615000000005,33500.67,33470.405,33528.81
272,33438.042499999996,33510.0,33500.67,33482.89,33562.74
273,33433.159999999996,33510.0,33501.68,33489.25,33622.27
274,33431.8525,33510.0,33503.065,33490.455,33609.42
275,33431.8525,33510.0,33492.31,33492.31,33608.0
276,33431.225,33510.0,33480.925,33480.925,33597.86
277,33432.5125,33510.0,33462.46,33480.925,33614.98
278,33434.3,33510.0,33454.119999999995,33480.925,33586.54
279,33434.3,33510.0,33454.020000000004,33480.925,33598.76
280,33437.2325,33507.28,33428.215,33468.3,33598.0
281,33443.475,33505.0,33401.36,33443.770000000004,33635.34
282,33446.655,33502.630000000005,33401.36,33443.770000000004,33619.12
283,33447.2575,33502.630000000005,33401.01,33443.770000000004,33617.18
284,33452.065,33502.630000000005,33375.965,33443.770000000004,33590.0
285,33451.0875,33502.630000000005,33375.965,33443.770000000004,33600.0
286,33443.875,33502.630000000005,33375.965,33443.770000000004,33580.0
