,date,tenkensen,kijunsen,spanA,spanB,chiku,kijunAndSpanBCross,tenkensenAndkijunsen,priceAndABSpan,tenkensenAndPriceWithKijunsen,sAAndB
154,1962-08-30,0,1,1,0,1.0,0,1,0,0,0
155,1962-08-31,0,1,1,0,1.0,0,1,0,0,0
156,1962-09-04,0,1,1,0,1.0,0,1,0,0,0
157,1962-09-05,0,0,1,0,0.0,0,1,0,0,0
158,1962-09-06,0,0,1,0,0.0,0,1,0,0,0
159,1962-09-07,0,0,1,0,1.0,0,1,0,0,0
160,1962-09-10,0,0,1,0,1.0,0,1,0,0,0
161,1962-09-11,0,0,1,0,1.0,0,0,0,0,0
162,1962-09-12,0,0,1,0,1.0,0,0,0,0,0
163,1962-09-13,0,0,1,0,1.0,1,0,0,0,0
164,1962-09-14,0,0,1,1,1.0,1,0,1,0,0
165,1962-09-17,1,1,1,1,1.0,1,0,1,0,0
166,1962-09-18,1,0,1,1,0.0,1,0,1,0,0
167,1962-09-19,0,0,1,1,0.0,1,0,1,0,0
168,1962-09-20,0,0,1,1,0.0,1,0,1,0,0
169,1962-09-21,0,0,1,0,0.0,1,0,0,0,0
170,1962-09-24,0,0,0,0,0.0,1,0,0,0,0
171,1962-09-25,0,0,0,0,0.0,1,0,0,0,0
172,1962-09-26,0,0,0,0,0.0,1,0,0,0,0
173,1962-09-27,0,0,0,0,0.0,1,0,0,0,1
174,1962-09-28,0,0,0,0,0.0,1,0,0,0,1
175,1962-10-01,0,0,0,0,0.0,1,0,0,0,1
176,1962-10-02,0,0,0,0,0.0,1,0,0,0,1
177,1962-10-03,0,0,0,0,0.0,1,0,0,0,1
178,1962-10-04,0,0,0,1,0.0,1,0,0,0,1
179,1962-10-05,1,0,0,1,0.0,1,0,0,0,1
180,1962-10-08,1,0,0,1,0.0,1,0,0,0,1
181,1962-10-09,1,0,0,1,0.0,1,0,0,0,1
182,1962-10-10,1,0,0,1,0.0,1,0,0,0,1
183,1962-10-11,0,0,0,0,0.0,1,0,0,0,1
184,1962-10-12,0,0,0,0,0.0,1,0,0,0,1
185,1962-10-15,1,0,0,1,0.0,1,0,0,0,1
186,1962-10-16,0,0,0,1,0.0,1,0,0,0,1
187,1962-10-17,1,0,0,1,0.0,1,0,0,0,1
188,1962-10-18,0,0,0,0,0.0,1,0,0,0,1
189,1962-10-19,0,0,0,0,0.0,1,0,0,0,1
190,1962-10-22,0,0,0,0,0.0,1,0,0,0,1
191,1962-10-23,0,0,0,0,0.0,1,0,0,0,1
192,1962-10-24,0,0,0,0,0.0,0,0,0,0,1
193,1962-10-25,0,0,0,0,0.0,0,0,0,0,1
194,1962-10-26,0,0,0,0,0.0,0,0,0,0,1
195,1962-10-29,0,0,0,0,0.0,0,0,0,0,1
196,1962-10-30,1,0,0,0,0.0,0,0,0,0,1
197,1962-10-31,1,0,0,0,0.0,0,0,0,0,1
198,1962-11-01,1,0,0,0,0.0,0,0,0,0,1
199,1962-11-02,1,1,0,0,1.0,0,0,0,0,1
200,1962-11-05,1,1,0,0,1.0,0,0,0,0,1
201,1962-11-07,1,1,0,0,1.0,0,0,0,0,1
202,1962-11-08,1,1,0,0,1.0,0,1,0,1,1
203,1962-11-09,1,1,0,0,1.0,0,1,0,1,1
204,1962-11-12,1,1,0,0,1.0,0,1,0,1,1
205,1962-11-13,1,1,0,0,1.0,0,1,0,1,0
206,1962-11-14,1,1,1,0,1.0,0,1,0,1,0
207,1962-11-15,1,1,1,0,1.0,0,1,0,1,0
208,1962-11-16,1,1,1,1,1.0,0,1,1,1,0
209,1962-11-19,1,1,1,0,1.0,0,1,0,1,0
210,1962-11-20,1,1,1,0,1.0,0,1,0,1,0
211,1962-11-21,1,1,1,0,1.0,0,1,0,1,0
212,1962-11-23,1,1,1,1,1.0,0,1,1,1,0
213,1962-11-26,1,1,1,1,1.0,0,1,1,1,0
214,1962-11-27,1,1,1,1,1.0,0,1,1,1,0
215,1962-11-28,1,1,1,1,1.0,0,1,1,1,0
216,1962-11-29,1,1,1,1,1.0,0,1,1,1,0
217,1962-11-30,1,1,1,1,1.0,0,1,1,1,0
218,1962-12-03,1,1,1,1,1.0,0,1,1,1,0
219,1962-12-04,1,1,1,1,1.0,0,1,1,1,0
220,1962-12-05,1,1,1,1,1.0,0,1,1,1,0
221,1962-12-06,1,1,1,1,1.0,0,1,1,1,0
222,1962-12-07,1,1,1,1,1.0,0,1,1,1,0
223,1962-12-10,0,1,1,1,1.0,0,1,1,0,0
224,1962-12-11,0,1,1,1,1.0,1,1,1,0,0
225,1962-12-12,0,1,1,1,1.0,1,1,1,0,0
226,1962-12-13,0,1,1,1,1.0,1,1,1,0,0
227,1962-12-14,0,1,1,1,1.0,1,1,1,0,0
228,1962-12-17,0,1,1,1,1.0,1,1,1,0,0
229,1962-12-18,0,1,1,1,1.0,1,1,1,0,0
230,1962-12-19,0,1,1,1,1.0,1,1,1,0,0
231,1962-12-20,0,1,1,1,1.0,1,1,1,0,0
232,1962-12-21,0,1,1,1,1.0,1,1,1,0,0
233,1962-12-24,1,1,1,1,1.0,1,1,1,1,0
234,1962-12-26,1,1,1,1,1.0,1,1,1,1,0
235,1962-12-27,1,1,1,1,1.0,1,1,1,1,0
236,1962-12-28,1,1,1,1,1.0,1,1,1,1,0
237,1962-12-31,1,1,1,1,1.0,1,1,1,1,0
238,1963-01-02,0,0,1,1,1.0,1,1,1,0,0
239,1963-01-03,1,1,1,1,1.0,1,0,1,0,0
240,1963-01-04,1,1,1,1,1.0,1,1,1,1,0
241,1963-01-07,1,1,1,1,1.0,1,1,1,1,0
242,1963-01-08,1,1,1,1,1.0,1,1,1,1,1
243,1963-01-09,1,1,1,1,1.0,1,1,1,1,1
244,1963-01-10,1,1,1,1,1.0,1,1,1,1,1
245,1963-01-11,1,1,1,1,1.0,1,1,1,1,1
246,1963-01-14,1,1,1,1,1.0,1,1,1,1,1
247,1963-01-15,1,1,1,1,1.0,1,1,1,1,1
248,1963-01-16,1,1,1,1,1.0,1,1,1,1,1
249,1963-01-17,1,1,1,1,1.0,1,1,1,1,1
250,1963-01-18,1,1,1,1,1.0,1,1,1,1,1
251,1963-01-21,1,1,1,1,1.0,1,1,1,1,1
252,1963-01-22,1,1,1,1,1.0,1,1,1,1,1
253,1963-01-23,1,1,1,1,1.0,1,1,1,1,1
254,1963-01-24,1,1,1,1,1.0,1,1,1,1,1
255,1963-01-25,1,1,1,1,1.0,1,1,1,1,1
256,1963-01-28,1,1,1,1,1.0,1,1,1,1,1
257,1963-01-29,1,1,1,1,1.0,1,1,1,1,1
258,1963-01-30,1,1,1,1,1.0,1,1,1,1,1
259,1963-01-31,1,1,1,1,1.0,1,1,1,1,1
260,1963-02-01,1,1,1,1,1.0,1,1,1,1,1
261,1963-02-04,1,1,1,1,1.0,1,1,1,1,1
262,1963-02-05,1,1,1,1,1.0,1,1,1,1,1
263,1963-02-06,0,1,1,1,1.0,1,1,1,0,1
264,1963-02-07,0,1,1,1,1.0,1,1,1,0,1
265,1963-02-08,0,1,1,1,1.0,1,1,1,0,1
266,1963-02-11,0,1,1,1,1.0,1,1,1,0,1
267,1963-02-12,0,1,1,1,1.0,1,1,1,0,1
268,1963-02-13,0,1,1,1,1.0,1,1,1,0,1
269,1963-02-14,0,1,1,1,1.0,1,1,1,0,1
270,1963-02-15,0,1,1,1,1.0,1,1,1,0,1
271,1963-02-18,0,1,1,1,0.0,1,1,1,0,1
272,1963-02-19,0,1,1,1,0.0,1,1,1,0,1
273,1963-02-20,0,0,1,1,0.0,1,1,1,0,1
274,1963-02-21,0,0,1,1,0.0,1,0,1,0,1
275,1963-02-25,0,0,1,1,0.0,1,0,1,0,1
276,1963-02-26,0,0,1,1,0.0,1,0,1,0,1
277,1963-02-27,0,0,1,1,0.0,1,0,1,0,1
278,1963-02-28,0,0,0,1,0.0,1,0,0,0,1
279,1963-03-01,0,0,0,1,0.0,1,0,0,0,1
280,1963-03-04,0,0,1,1,0.0,1,0,1,0,1
281,1963-03-05,0,0,0,1,0.0,1,0,0,0,1
282,1963-03-06,0,0,0,1,0.0,1,0,0,0,1
283,1963-03-07,1,0,1,1,0.0,1,0,1,0,1
284,1963-03-08,1,0,1,1,0.0,1,0,1,0,1
285,1963-03-11,1,0,1,1,0.0,1,0,1,0,1
286,1963-03-12,1,0,0,1,0.0,1,0,0,0,1
287,1963-03-13,1,0,0,1,0.0,1,0,0,0,1
288,1963-03-14,1,0,1,1,0.0,1,0,1,0,1
289,1963-03-15,1,1,1,1,0.0,1,0,1,0,1
290,1963-03-18,1,0,0,1,0.0,1,0,0,0,1
291,1963-03-19,1,0,0,1,0.0,1,0,0,0,1
292,1963-03-20,1,1,1,1,0.0,1,1,1,1,1
293,1963-03-21,0,1,0,1,1.0,1,1,0,0,1
294,1963-03-22,1,1,1,1,1.0,1,1,1,1,1
295,1963-03-25,1,1,1,1,1.0,1,1,1,1,1
296,1963-03-26,1,1,1,1,1.0,1,1,1,1,1
297,1963-03-27,1,1,1,1,0.0,1,1,1,1,1
298,1963-03-28,1,1,1,1,1.0,1,1,1,1,1
299,1963-03-29,1,1,1,1,1.0,1,1,1,1,1
300,1963-04-01,1,1,1,1,1.0,1,1,1,1,1
301,1963-04-02,1,1,1,1,1.0,1,1,1,1,1
302,1963-04-03,1,1,1,1,1.0,1,1,1,1,1
303,1963-04-04,1,1,1,1,1.0,1,1,1,1,1
304,1963-04-05,1,1,1,1,1.0,1,1,1,1,1
305,1963-04-08,1,1,1,1,1.0,1,1,1,1,1
306,1963-04-09,1,1,1,1,1.0,1,1,1,1,1
307,1963-04-10,1,1,1,1,1.0,1,1,1,1,1
308,1963-04-11,1,1,1,1,1.0,1,1,1,1,1
309,1963-04-15,1,1,1,1,1.0,1,1,1,1,1
310,1963-04-16,1,1,1,1,1.0,1,1,1,1,1
311,1963-04-17,1,1,1,1,1.0,1,1,1,1,1
312,1963-04-18,1,1,1,1,1.0,1,1,1,1,1
313,1963-04-19,1,1,1,1,1.0,1,1,1,1,1
314,1963-04-22,1,1,1,1,1.0,1,1,1,1,1
315,1963-04-23,1,1,1,1,1.0,1,1,1,1,1
316,1963-04-24,1,1,1,1,1.0,1,1,1,1,1
317,1963-04-25,1,1,1,1,1.0,1,1,1,1,1
318,1963-04-26,1,1,1,1,1.0,1,1,1,1,1
319,1963-04-29,1,1,1,1,1.0,1,1,1,1,1
320,1963-04-30,1,1,1,1,1.0,1,1,1,1,1
321,1963-05-01,1,1,1,1,1.0,1,1,1,1,1
322,1963-05-02,1,1,1,1,1.0,1,1,1,1,1
323,1963-05-03,1,1,1,1,1.0,1,1,1,1,1
324,1963-05-06,0,1,1,1,1.0,1,1,1,0,1
325,1963-05-07,0,1,1,1,1.0,1,1,1,0,1
326,1963-05-08,1,1,1,1,1.0,1,1,1,1,1
327,1963-05-09,1,1,1,1,1.0,1,1,1,1,1
328,1963-05-10,1,1,1,1,1.0,1,1,1,1,1
329,1963-05-13,1,1,1,1,1.0,1,1,1,1,1
330,1963-05-14,1,1,1,1,1.0,1,1,1,1,1
331,1963-05-15,1,1,1,1,1.0,1,1,1,1,1
332,1963-05-16,1,1,1,1,1.0,1,1,1,1,1
333,1963-05-17,1,1,1,1,1.0,1,1,1,1,1
334,1963-05-20,0,1,1,1,1.0,1,1,1,0,1
335,1963-05-21,0,1,1,1,1.0,1,1,1,0,1
336,1963-05-22,0,1,1,1,1.0,1,1,1,0,1
337,1963-05-23,0,1,1,1,1.0,1,1,1,0,1
338,1963-05-24,0,1,1,1,1.0,1,1,1,0,1
339,1963-05-27,0,1,1,1,1.0,1,1,1,0,1
340,1963-05-28,0,1,1,1,1.0,1,1,1,0,1
341,1963-05-29,1,1,1,1,1.0,1,1,1,1,1
342,1963-05-31,1,1,1,1,1.0,1,1,1,1,1
343,1963-06-03,1,1,1,1,1.0,1,1,1,1,1
344,1963-06-04,1,1,1,1,0.0,1,1,1,1,1
345,1963-06-05,1,1,1,1,0.0,1,1,1,1,1
346,1963-06-06,1,1,1,1,1.0,1,1,1,1,1
347,1963-06-07,0,1,1,1,0.0,1,1,1,0,1
348,1963-06-10,0,0,1,1,0.0,1,1,1,0,1
349,1963-06-11,0,0,1,1,0.0,1,1,1,0,1
350,1963-06-12,0,1,1,1,1.0,1,1,1,0,1
351,1963-06-13,0,0,1,1,0.0,1,1,1,0,1
352,1963-06-14,0,0,1,1,0.0,1,1,1,0,1
353,1963-06-17,0,0,1,1,0.0,1,0,1,0,1
354,1963-06-18,0,0,1,1,0.0,1,0,1,0,1
355,1963-06-19,0,0,1,1,0.0,1,0,1,0,1
356,1963-06-20,0,0,0,1,0.0,1,0,0,0,1
357,1963-06-21,0,0,0,1,0.0,1,0,0,0,1
358,1963-06-24,0,0,0,1,0.0,1,0,0,0,1
359,1963-06-25,0,0,0,1,0.0,1,0,0,0,1
360,1963-06-26,0,0,0,1,0.0,1,0,0,0,1
361,1963-06-27,0,0,0,0,0.0,1,0,0,0,1
362,1963-06-28,0,0,0,0,0.0,1,0,0,0,1
363,1963-07-01,0,0,0,0,0.0,1,0,0,0,1
364,1963-07-02,0,0,0,1,0.0,1,0,0,0,1
365,1963-07-03,1,0,0,1,0.0,1,0,0,0,1
366,1963-07-05,1,0,0,1,0.0,1,0,0,0,1
367,1963-07-08,0,0,0,0,0.0,1,0,0,0,1
368,1963-07-09,1,0,0,1,0.0,1,0,0,0,1
369,1963-07-10,1,0,0,0,0.0,1,0,0,0,1
370,1963-07-11,0,0,0,0,0.0,1,0,0,0,1
371,1963-07-12,0,0,0,0,0.0,1,0,0,0,1
372,1963-07-15,0,0,0,0,0.0,1,0,0,0,1
373,1963-07-16,0,0,0,0,0.0,1,0,0,0,1
374,1963-07-17,0,0,0,0,0.0,1,0,0,0,1
375,1963-07-18,0,0,0,0,0.0,1,0,0,0,1
376,1963-07-19,0,0,0,0,0.0,1,0,0,0,1
377,1963-07-22,0,0,0,0,0.0,1,0,0,0,1
378,1963-07-23,0,0,0,0,0.0,1,0,0,0,1
379,1963-07-24,0,0,0,0,0.0,1,0,0,0,1
380,1963-07-25,0,0,0,0,0.0,1,0,0,0,1
381,1963-07-26,0,0,0,0,0.0,1,0,0,0,1
382,1963-07-29,1,0,0,0,0.0,0,0,0,0,1
383,1963-07-30,1,0,0,0,0.0,0,0,0,0,1
384,1963-07-31,0,0,0,0,0.0,0,0,0,0,1
385,1963-08-01,0,0,0,0,0.0,0,0,0,0,1
386,1963-08-02,0,0,0,0,1.0,0,0,0,0,1
387,1963-08-05,1,0,0,0,1.0,0,0,0,0,1
388,1963-08-06,1,1,0,0,1.0,0,0,0,0,1
389,1963-08-07,0,1,0,0,1.0,0,1,0,0,1
390,1963-08-08,1,1,0,0,1.0,0,1,0,1,1
391,1963-08-09,1,1,0,0,1.0,0,1,0,1,1
392,1963-08-12,1,1,0,0,1.0,0,1,0,1,0
393,1963-08-13,1,1,1,1,1.0,0,1,1,1,0
394,1963-08-14,1,1,1,1,1.0,0,1,1,1,0
395,1963-08-15,1,1,1,1,1.0,0,1,1,1,0
396,1963-08-16,1,1,1,1,1.0,0,1,1,1,0
397,1963-08-19,1,1,1,0,1.0,0,1,0,1,0
398,1963-08-20,0,1,1,0,1.0,0,1,0,0,0
399,1963-08-21,1,1,1,0,1.0,0,1,0,1,0
400,1963-08-22,1,1,1,1,1.0,0,1,1,1,0
401,1963-08-23,0,1,1,0,1.0,0,1,0,0,0
402,1963-08-26,0,1,1,0,1.0,0,1,0,0,0
403,1963-08-27,0,0,0,0,1.0,0,1,0,0,0
404,1963-08-28,0,1,0,0,1.0,0,1,0,0,0
405,1963-08-29,0,1,0,0,1.0,0,1,0,0,0
406,1963-08-30,0,1,1,0,1.0,0,1,0,0,0
407,1963-09-03,1,1,1,0,1.0,0,1,0,1,0
408,1963-09-04,1,1,1,0,1.0,0,1,0,1,0
409,1963-09-05,1,1,1,0,1.0,0,1,0,1,0
410,1963-09-06,1,1,1,1,1.0,0,1,1,1,0
411,1963-09-09,1,1,1,1,1.0,0,1,1,1,0
412,1963-09-10,1,1,1,1,1.0,0,1,1,1,0
413,1963-09-11,1,1,1,1,1.0,0,1,1,1,0
414,1963-09-12,1,1,1,1,1.0,0,1,1,1,0
415,1963-09-13,1,1,1,1,1.0,0,1,1,1,0
416,1963-09-16,1,1,1,1,1.0,0,1,1,1,0
417,1963-09-17,1,1,1,1,1.0,0,1,1,1,0
418,1963-09-18,0,1,1,0,1.0,0,1,0,0,0
419,1963-09-19,0,1,1,1,1.0,0,1,1,0,0
420,1963-09-20,1,1,1,1,0.0,0,1,1,1,0
421,1963-09-23,0,1,1,1,0.0,0,1,1,0,0
422,1963-09-24,1,1,1,1,0.0,0,1,1,1,0
423,1963-09-25,0,1,1,1,0.0,1,1,1,0,0
424,1963-09-26,0,0,1,0,1.0,1,1,0,0,0
425,1963-09-27,0,0,1,0,1.0,1,1,0,0,0
426,1963-09-30,0,0,1,1,1.0,1,1,1,0,0
427,1963-10-01,0,0,1,0,1.0,1,1,0,0,0
428,1963-10-02,0,0,1,0,1.0,1,1,0,0,0
429,1963-10-03,0,1,1,1,1.0,1,1,1,0,0
430,1963-10-04,1,1,1,1,1.0,1,1,1,1,0
431,1963-10-07,1,1,1,1,1.0,1,1,1,1,0
432,1963-10-08,1,1,1,1,1.0,1,1,1,1,0
433,1963-10-09,1,1,1,1,1.0,1,1,1,1,0
434,1963-10-10,1,1,1,1,1.0,1,1,1,1,0
435,1963-10-11,1,1,1,1,1.0,1,1,1,1,0
436,1963-10-14,1,1,1,1,1.0,1,1,1,1,0
437,1963-10-15,1,1,1,1,1.0,1,1,1,1,0
438,1963-10-16,1,1,1,1,1.0,1,1,1,1,0
439,1963-10-17,1,1,1,1,1.0,1,1,1,1,0
440,1963-10-18,1,1,1,1,1.0,1,1,1,1,0
441,1963-10-21,1,1,1,1,1.0,1,1,1,1,1
