,date,detect
263,2021-07-01 06:50:00+04:30,0
264,2021-07-01 06:51:00+04:30,1
265,2021-07-01 06:52:00+04:30,0
266,2021-07-01 06:53:00+04:30,0
267,2021-07-01 06:54:00+04:30,1
268,2021-07-01 06:55:00+04:30,1
269,2021-07-01 06:56:00+04:30,0
270,2021-07-01 06:57:00+04:30,1
271,2021-07-01 06:58:00+04:30,0
272,2021-07-01 06:59:00+04:30,0
273,2021-07-01 07:00:00+04:30,0
274,2021-07-01 07:01:00+04:30,1
275,2021-07-01 07:02:00+04:30,0
276,2021-07-01 07:03:00+04:30,0
277,2021-07-01 07:04:00+04:30,1
278,2021-07-01 07:05:00+04:30,1
279,2021-07-01 07:06:00+04:30,1
280,2021-07-01 07:07:00+04:30,1
281,2021-07-01 07:08:00+04:30,0
282,2021-07-01 07:09:00+04:30,0
283,2021-07-01 07:10:00+04:30,0
284,2021-07-01 07:11:00+04:30,1
285,2021-07-01 07:12:00+04:30,0
286,2021-07-01 07:13:00+04:30,1
287,2021-07-01 07:14:00+04:30,1
288,2021-07-01 07:15:00+04:30,0
289,2021-07-01 07:16:00+04:30,0
290,2021-07-01 07:17:00+04:30,0
291,2021-07-01 07:18:00+04:30,1
292,2021-07-01 07:19:00+04:30,1
293,2021-07-01 07:20:00+04:30,1
294,2021-07-01 07:21:00+04:30,0
295,2021-07-01 07:22:00+04:30,1
296,2021-07-01 07:23:00+04:30,1
297,2021-07-01 07:24:00+04:30,0
298,2021-07-01 07:25:00+04:30,0
299,2021-07-01 07:26:00+04:30,1
300,2021-07-01 07:27:00+04:30,0
301,2021-07-01 07:28:00+04:30,0
302,2021-07-01 07:29:00+04:30,1
303,2021-07-01 07:30:00+04:30,1
304,2021-07-01 07:31:00+04:30,0
305,2021-07-01 07:32:00+04:30,0
306,2021-07-01 07:33:00+04:30,1
307,2021-07-01 07:34:00+04:30,1
308,2021-07-01 07:35:00+04:30,0
309,2021-07-01 07:36:00+04:30,0
310,2021-07-01 07:37:00+04:30,1
311,2021-07-01 07:38:00+04:30,1
312,2021-07-01 07:39:00+04:30,1
313,2021-07-01 07:40:00+04:30,0
314,2021-07-01 07:41:00+04:30,0
315,2021-07-01 07:42:00+04:30,0
316,2021-07-01 07:43:00+04:30,1
317,2021-07-01 07:44:00+04:30,1
318,2021-07-01 07:45:00+04:30,1
319,2021-07-01 07:46:00+04:30,1
320,2021-07-01 07:47:00+04:30,0
321,2021-07-01 07:48:00+04:30,1
322,2021-07-01 07:49:00+04:30,1
323,2021-07-01 07:50:00+04:30,0
324,2021-07-01 07:51:00+04:30,1
325,2021-07-01 07:52:00+04:30,0
326,2021-07-01 07:53:00+04:30,0
327,2021-07-01 07:54:00+04:30,1
328,2021-07-01 07:55:00+04:30,0
329,2021-07-01 07:56:00+04:30,0
330,2021-07-01 07:57:00+04:30,1
331,2021-07-01 07:58:00+04:30,0
332,2021-07-01 07:59:00+04:30,0
333,2021-07-01 08:00:00+04:30,0
334,2021-07-01 08:01:00+04:30,1
335,2021-07-01 08:02:00+04:30,1
336,2021-07-01 08:03:00+04:30,1
337,2021-07-01 08:04:00+04:30,0
338,2021-07-01 08:05:00+04:30,1
339,2021-07-01 08:06:00+04:30,0
340,2021-07-01 08:07:00+04:30,1
341,2021-07-01 08:08:00+04:30,0
342,2021-07-01 08:09:00+04:30,0
343,2021-07-01 08:10:00+04:30,1
344,2021-07-01 08:11:00+04:30,0
345,2021-07-01 08:12:00+04:30,1
346,2021-07-01 08:13:00+04:30,0
347,2021-07-01 08:14:00+04:30,0
348,2021-07-01 08:15:00+04:30,0
349,2021-07-01 08:16:00+04:30,1
350,2021-07-01 08:17:00+04:30,1
351,2021-07-01 08:18:00+04:30,0
352,2021-07-01 08:19:00+04:30,1
353,2021-07-01 08:20:00+04:30,1
354,2021-07-01 08:21:00+04:30,1
355,2021-07-01 08:22:00+04:30,0
356,2021-07-01 08:23:00+04:30,0
357,2021-07-01 08:24:00+04:30,1
358,2021-07-01 08:25:00+04:30,0
359,2021-07-01 08:26:00+04:30,0
360,2021-07-01 08:27:00+04:30,1
361,2021-07-01 08:28:00+04:30,0
362,2021-07-01 08:29:00+04:30,1
363,2021-07-01 08:30:00+04:30,1
364,2021-07-01 08:31:00+04:30,0
365,2021-07-01 08:32:00+04:30,0
366,2021-07-01 08:33:00+04:30,0
367,2021-07-01 08:34:00+04:30,1
368,2021-07-01 08:35:00+04:30,1
369,2021-07-01 08:36:00+04:30,1
370,2021-07-01 08:37:00+04:30,1
371,2021-07-01 08:38:00+04:30,0
372,2021-07-01 08:39:00+04:30,1
373,2021-07-01 08:40:00+04:30,1
374,2021-07-01 08:41:00+04:30,1
375,2021-07-01 08:42:00+04:30,0
376,2021-07-01 08:43:00+04:30,1
